data_inicio_atividade,uf,quantidade
2019-01-01,RN,5
2019-01-01,RO,3
2019-01-01,RR,1
2019-01-01,RS,16
2019-01-01,SC,17
2019-01-01,SE,2
2019-01-01,SP,101
2019-01-01,TO,5
2019-02-01,AL,3
2019-02-01,AM,4
2019-02-01,AP,1
2019-02-01,BA,13
2019-02-01,CE,14
2019-02-01,DF,8
2019-02-01,ES,11
2019-02-01,GO,16
2019-02-01,MA,4
2019-02-01,MG,45
2019-02-01,MS,8
2019-02-01,MT,7
2019-02-01,PA,2
2019-02-01,PB,8
2019-02-01,PE,13
2019-02-01,PI,2
2019-02-01,PR,32
2019-02-01,RJ,35
2019-02-01,RN,5
2019-02-01,RO,5
2019-02-01,RS,21
2019-02-01,SC,19
2019-02-01,SE,2
2019-02-01,SP,98
2019-02-01,TO,2
2019-03-01,AC,1
2019-03-01,AL,4
